filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli-kano-static-0_mixtral-8x22b_V8_0,2024-05-06_172953,98.243,OK,batch/prompts/eli-kano-static-0_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
airidas-kano-7500_mixtral-8x22b_V7_1,2024-05-06_173131,1024.682,OK,batch/prompts/airidas-kano-7500_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-pers-static-0_mixtral-8x22b_V8_2,2024-05-06_174836,111.052,OK,batch/prompts/eli-pers-static-0_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-7500_llama3-8b_V8_2,2024-05-06_175027,19.211,OK,batch/prompts/eli-kano-static-7500_llama3-8b_V8_prompts.json,KanoSurvey,True,,
eli-kano-static-4000_llama3-8b_V8_1,2024-05-06_175046,10.999,OK,batch/prompts/eli-kano-static-4000_llama3-8b_V8_prompts.json,KanoSurvey,True,,
eli-pers-static-0_llama3-70b_V8_2,2024-05-06_175057,145.398,OK,batch/prompts/eli-pers-static-0_llama3-70b_V8_prompts.json,PersonalitySurvey,True,,
eli-pers-static-4000_mixtral-8x22b_V8_2,2024-05-06_175322,158.203,OK,batch/prompts/eli-pers-static-4000_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-0_llama3-70b_V8_0,2024-05-06_175600,119.98,OK,batch/prompts/eli-kano-static-0_llama3-70b_V8_prompts.json,KanoSurvey,True,,
eli-kano-static-0_llama3-70b_V8_1,2024-05-06_175800,52.345,OK,batch/prompts/eli-kano-static-0_llama3-70b_V8_prompts.json,KanoSurvey,True,,
.DS_Store,2024-05-06_175800,0.002,Failed,batch/prompts/eli-kano-static-0_llama3-70b_V8_prompts.json,KanoSurvey,True,,"Traceback (most recent call last):
  File ""/var/folders/bk/njz8h9d15b78r5q_bldv98zc0000gp/T/ipykernel_68806/1161453156.py"", line 28, in <module>
    rundata = json.load(f)
              ^^^^^^^^^^^^
  File ""/opt/homebrew/Cellar/python@3.11/3.11.9/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py"", line 293, in load
    return loads(fp.read(),
                 ^^^^^^^^^
  File ""<frozen codecs>"", line 322, in decode
UnicodeDecodeError: 'utf-8' codec can't decode byte 0xb5 in position 561: invalid start byte
"
